question,category,reference_context
"What are your privileges and limitations under a Part 61 PPL?","PPL & Student","CASR 61.1145"
"How do you determine if an aircraft is 'Airworthy' under Australian regs?","PPL & Student","Part 91"
"What are the VFR cloud clearance requirements in Class C airspace?","PPL & Student","Part 91"
"What are the VFR cloud clearance requirements in Class G airspace?","PPL & Student","Part 91"
"Explain the VFR fuel requirements for a fixed-wing aircraft (Day/Night).","PPL & Student","Part 91 MOS"
"How do you check for current Airworthiness Directives (ADs)?","PPL & Student","CASA website"
"What documents must be carried on board for a local VFR flight?","PPL & Student","CASR 91.105"
"What are the alcohol restrictions for flight crew in Australia?","PPL & Student","CASR 91.520"
"How long is a Class 2 medical valid for a pilot under 40?","PPL & Student","CASR 67"
"What is the definition of 'Day' according to CASA?","PPL & Student","VFRG"
"What are the requirements to carry a passenger at night?","PPL & Student","CASR 61.395"
"Explain the '5 Cs' when lost in the Australian outback.","PPL & Student","General Practice"
"What is the difference between Pressure Height and Density Height?","PPL & Student","Performance"
"How do you use the ALPHA loading system?","PPL & Student","CASA Workbook"
"How do you use the BRAVO loading system?","PPL & Student","CASA Workbook"
"What is VA and why does it change with weight?","PPL & Student","Aerodynamics"
"What is a 'SARTIME' and how do you manage it via NAIPS?","PPL & Student","Airservices Australia"
"What is the difference between a TAF and a TAF3?","PPL & Student","Meteorology (BoM)"
"What are the visual requirements for a straight-in VFR approach?","PPL & Student","Part 91"
"Define 'Cross-Country' flight for the purpose of PPL requirements.","PPL & Student","CASR 61"
"What is the minimum altitude over a 'populous area'?","PPL & Student","CASR 91.265"
"When must you use a radio at a non-controlled aerodrome?","PPL & Student","Part 91"
"What is the transponder code for a 'Lost Comms' scenario in Australia?","PPL & Student","7600"
"What is the transponder code for a 'Highjack' scenario?","PPL & Student","7500"
"What is the transponder code for an 'Emergency'?","PPL & Student","7700"
"What is the 'Area Forecast' (ARFOR) now called in Australia?","PPL & Student","GFA (Graphical Area Forecast)"
"Explain the symptoms of Hypoxia.","PPL & Student","Human Factors"
"What is the 'IMSAFE' checklist?","PPL & Student","Human Factors"
"Define the 'Coffin Corner' in aerodynamics.","PPL & Student","Aerodynamics"
"What is 'P-Factor'?","PPL & Student","Aerodynamics"
"How does the Australian 'See and Avoid' principle work?","PPL & Student","CASA Guide"
"When do you need to submit a flight notification to Airservices?","PPL & Student","Part 91"
"What are the limitations of a Recreational Pilot Licence (RPL)?","PPL & Student","CASR 61"
"When is an IFR alternate required based on current Aussie weather specs?","CPL & IFR","Part 91 MOS"
"What are the lighting requirements for an IFR alternate?","CPL & IFR","Part 91 MOS"
"How do you calculate the 'Most Critical Point' (MCP)?","CPL & IFR","Flight Planning"
"Explain the 'Point of No Return' (PNR).","CPL & IFR","Flight Planning"
"What is the difference between V1 and V2 in a transport aircraft?","CPL & IFR","Performance"
"Define 'Air Transport Operation' under CASR Part 121.","CPL & IFR","CASR 121"
"What are the requirements for an AOC (Air Operator's Certificate)?","CPL & IFR","CASA Regs"
"What is a 'Design Feature Endorsement'?","CPL & IFR","CASR 61.755"
"Explain the 3:1 descent profile rule.","CPL & IFR","Navigation"
"What are the lost comms procedures under IFR in Australia?","CPL & IFR","ERSA"
"What is the significance of the 25nm MSA?","CPL & IFR","DAP"
"When can you descend below the MDA/DA in Australia?","CPL & IFR","Part 91"
"What is 'Critical Engine' on a light twin like a Baron?","CPL & IFR","Aerodynamics"
"How does a constant speed propeller function?","CPL & IFR","Systems"
"What is the difference between a 'Class' and a 'Type' rating?","CPL & IFR","CASR 61"
"What are the recency requirements for IFR single-pilot?","CPL & IFR","CASR 61.870"
"Explain the '1-in-60' rule for navigation.","CPL & IFR","Navigation"
"What is Dutch Roll and how is it damped?","CPL & IFR","Aerodynamics"
"What are the DAMP (Drug and Alcohol Management Plan) requirements?","CPL & IFR","CASR 99"
"What defines a 'Multi-Crew' operation in Australia?","CPL & IFR","CASR 61"
"Explain 'Asymmetric Blade Effect'.","CPL & IFR","Aerodynamics"
"What is the difference between Part 133 and Part 135 operations?","CPL & IFR","Flight Ops"
"How do you identify a 'Microburst' using onboard radar?","CPL & IFR","Weather"
"What is the 'Intertropical Convergence Zone' (ITCZ) effect in Northern Aus?","CPL & IFR","Weather"
"Define 'Balanced Field Length'.","CPL & IFR","Performance"
"What is RVR and how is it reported at major Aussie airports?","CPL & IFR","Meteorology"
"What are the fuel requirements for an IFR flight (fixed-wing)?","CPL & IFR","Part 91 MOS"
"How do you brief a Jeppesen or Airservices approach plate?","CPL & IFR","AIP"
"What is the 'Lowest Safe Altitude' (LSALT) calculation?","CPL & IFR","AIP"
"Explain the use of 'Reduced Thrust' (Flex) takeoffs.","CPL & IFR","Performance"
"What is a 'Stopway' and how is it used in performance?","CPL & IFR","AIP"
"How do you handle a 'GPWS' alert?","CPL & IFR","Emergency"
"Describe a time you used CRM to resolve a cockpit conflict.","Airline & Senior","HR/Behavioral"
"What are the four pillars of a Safety Management System (SMS)?","Airline & Senior","CASA SMS"
"How do you manage a Captain who is disregarding a SOP?","Airline & Senior","CRM"
"What is 'Threat and Error Management' (TEM)?","Airline & Senior","CASA MOS"
"Explain 'Mach Tuck' at high altitudes.","Airline & Senior","Aerodynamics"
"Why is 'Critical Mach' important for jet operations?","Airline & Senior","Aerodynamics"
"How does the TCAS II system provide resolution advisories?","Airline & Senior","Systems"
"What is the role of the 'Head of Operations' (HOO) in a flying school?","Airline & Senior","CASR 141/142"
"What are the responsibilities of a 'Pilot in Command'?","Airline & Senior","CASR 91.215"
"Describe the 'Swiss Cheese Model' of accident causation.","Airline & Senior","Human Factors"
"What makes a good Captain in the Qantas/Virgin environment?","Airline & Senior","HR"
"How do you handle a medical emergency mid-flight (SYD-PER)?","Airline & Senior","Operational"
"What is the 'Clearway' on a runway?","Airline & Senior","Performance"
"Explain the 'T-tail' deep stall phenomenon.","Airline & Senior","Aerodynamics"
"What is 'RVSM' and what are the equipment requirements?","Airline & Senior","AIP"
"What is 'PBN' (Performance Based Navigation)?","Airline & Senior","AIP"
"How does an Examiner assess 'Non-Technical Skills' (NTS)?","Examiner","CASA Handbook"
"What constitutes a 'Fail' on a flight test in Australia?","Examiner","CASA Handbook"
"What are the 'Knowledge Deficiency Reports' (KDRs)?","Examiner","CASR 61"
"Explain the 'Part 141' vs 'Part 142' training provider differences.","Examiner","Regulatory"
"What is a 'Proficiency Check' vs a 'Flight Review'?","Examiner","CASR 61"
"How do you manage an applicant who becomes extremely nervous?","Examiner","Instructional"
"What are the requirements for a Flight Examiner Rating?","Examiner","CASR 61"
"Define 'Competency' according to the CASA MOS.","Examiner","Part 61 MOS"
"How do you verify an applicant's identity and prerequisites?","Examiner","CASA Handbook"
"What is the 'Form 61-9TX' used for?","Examiner","Administrative"
"Explain the 'Circle-to-Land' minima and procedure.","Examiner","AIP"
"What is the transponder requirement for ADS-B in Australia?","Examiner","Part 91"
"How do you assess 'Situational Awareness' during a flight test?","Examiner","CRM/TEM"
"What is 'Start-up' vs 'Taxi' clearance at major airports?","Examiner","ATC"
"How do you handle an 'Engine Failure After Takeoff' (EFATO) in a twin?","Examiner","Emergency"
"What is the difference between 'Vat' and 'Vref'?","Examiner","Performance"
"Explain the 'Alpha' loading system tolerances.","Examiner","CASA Workbook"
"What is the 'Lowest Safe' for a night VFR cross-country?","Examiner","Part 91"
"What are the 'Minimum Equipment List' (MEL) requirements?","Examiner","CASR 91"
"What is the minimum age for a Recreational Pilot Licence (RPL)?","Pilot Licensing","CASR Part 61"
"How many flight hours are required for a Private Pilot Licence (PPL)?","Pilot Licensing","CASR Part 61"
"What are the English language proficiency requirements for Australian pilots?","Pilot Licensing","CASR Part 61"
"How long is a Class 2 medical certificate valid for a pilot under 40?","Pilot Licensing","CASR Part 67"
"Can a PPL holder carry passengers for compensation or hire?","Pilot Licensing","CASR Part 61"
"What is the difference between a flight review and a proficiency check?","Pilot Licensing","CASR Part 61 / Flight Examiner Handbook"
"How do I convert a foreign pilot licence to an Australian CASA licence?","Pilot Licensing","CASR Part 61"
"What is the maximum altitude for recreational drones in Australia?","Drone / Part 101","CASR Part 101"
"How far must a drone stay away from people not involved in the flight?","Drone / Part 101","CASR Part 101"
"Can I fly a drone within 5.5km of a controlled airport (with a tower)?","Drone / Part 101","CASR Part 101"
"What are the rules for flying drones at night for fun?","Drone / Part 101","CASR Part 101"
"What is a Remotely Piloted Aircraft Operator's Certificate (ReOC)?","Drone / Part 101","CASR Part 101"
"Can I fly a drone over a public beach or park during an event?","Drone / Part 101","CASR Part 101"
"Are drones allowed to fly through cloud or fog in Australia?","Drone / Part 101","CASR Part 101"
"What are the VFR visibility requirements for flight in Class G airspace?","Operational Rules","AIP / CASR Part 91"
"When is an alternate aerodrome required due to weather at the destination?","Operational Rules","AIP ENR 1.1 / AIP ENR 1.5"
"At what altitude must a pilot switch from QNH to the standard 1013.2 hPa?","Operational Rules","AIP ENR 1.7"
"What are the right-of-way rules for two aircraft on a head-on course?","Operational Rules","CAR / CASR Part 91"
"When must a pilot hold a current flight manual on board the aircraft?","Operational Rules","CASR Part 91 / CAR"
"What is the vertical limit of Class D control zones at major aerodromes?","Operational Rules","AIP ENR 1.4"
