question,category,primary_reference
"Fuel requirements day VFR flight",Part 91 MOS,Part 91 MOS Ch 19
"How much fuel must I carry for a VFR day flight?",Part 91 MOS,Part 91 MOS Ch 19
"What are the fuel rules for a small fixed-wing aircraft under Part 91?",Part 91 MOS,Part 91 MOS Ch 19
"What are the medical requirements for a PPL?",Part 67,CASR 67.160
"What are the passenger recency requirements for a PPL?",Part 61,CASR 61.395
"Can a PPL carry passengers for hire or compensation?",Part 61,CASR 61.505
"How do I convert a foreign pilot licence to an Australian licence?",Part 61,CASR 61.275
"What are KDRs?",Part 61,CASR 61.230
"What are the instrument recency rules?",Part 61,CASR 61.870
"What are the night VFR rules?",Part 61,CASR 61.970
"What are the MEL rules for inoperative equipment?",Part 91,CASR 91.925
"When must I brief passengers?",Part 91,CASR 91.565
"What is a maintenance release and how long does it last?",CAR,CAR 43
"What is an Airworthiness Directive?",CASR,CASR 202.170
"What does the Head of Operations do at a Part 141 flying school?",Part 141,CASR 141.020
"What is the maximum speed below 10,000 feet?",AIP,AIP ENR 1.4 4.1
"What are the Class G VMC minima?",Part 91 MOS,MOS 2.07
"What is special alternate weather minima?",AIP,AIP ENR 1.5 6.2
"What does ENR 1.5 subsection 6.2 say?",AIP,AIP ENR 1.5 6.2
"What is the circling radius for category C aircraft?",AIP,AIP ENR 1.5 1.6.5
"How can a QNH be considered accurate on receipt?",AIP,AIP ENR 1.7 1.4.1
"What is the transition altitude in Australia?",AIP,AIP ENR 1.7 2.1.4
"What is a standard instrument departure?",AIP,AIP GEN 2.2
"What is an aerodrome reference point?",AIP,AIP GEN 2.2
"What is RNP vs RNAV?",AIP,AIP GEN 2.2
"What is clearway?",AIP,AIP GEN 2.2
"What is VDGS?",AIP,AIP AD 1.1 5.1
"What are the GNSS requirements for IFR flight?",AIP,AIP ENR 1.1 4.8
"What are the IFR cruising levels for a northbound track?",Part 91,CASR 91.290
"Which document contains the general operating rules for Australian pilots?",Part 91,CASR 91.010
